Date,Iterations,LocIterations,Lambda,TrainSize,TimeFit(sec),Accuracy
2023-01-28 19:10:36, 60, 120, 0.50, 60000, 81.90, 0.7844 
2023-01-28 19:11:42, 60, 150, 0.50, 60000, 65.44, 0.7631 
2023-01-28 19:13:01, 60, 180, 0.50, 60000, 78.13, 0.7383 
2023-01-28 19:13:59, 60, 120, 0.70, 60000, 58.41, 0.7870 
2023-01-28 19:15:01, 60, 150, 0.70, 60000, 61.52, 0.7777 
2023-01-28 19:16:10, 60, 180, 0.70, 60000, 68.58, 0.7698 
2023-01-28 19:17:12, 60, 120, 0.90, 60000, 62.00, 0.7914 
2023-01-28 19:18:22, 60, 150, 0.90, 60000, 69.56, 0.7976 
2023-01-28 19:19:45, 60, 180, 0.90, 60000, 82.86, 0.7939 
2023-01-28 19:20:58, 75, 120, 0.50, 60000, 72.82, 0.7718 
2023-01-28 19:22:14, 75, 150, 0.50, 60000, 75.14, 0.7976 
2023-01-28 19:23:35, 75, 180, 0.50, 60000, 81.58, 0.7713 
2023-01-28 19:24:45, 75, 120, 0.70, 60000, 69.24, 0.7995 
2023-01-28 19:26:05, 75, 150, 0.70, 60000, 79.67, 0.8073 
2023-01-28 19:27:32, 75, 180, 0.70, 60000, 86.56, 0.7961 
2023-01-28 19:28:36, 75, 120, 0.90, 60000, 63.52, 0.7969 
2023-01-28 19:29:41, 75, 150, 0.90, 60000, 65.18, 0.8048 
2023-01-28 19:30:56, 75, 180, 0.90, 60000, 74.20, 0.7876 
2023-01-28 19:32:00, 90, 120, 0.50, 60000, 64.35, 0.8007 
2023-01-28 19:33:14, 90, 150, 0.50, 60000, 73.57, 0.7566 
2023-01-28 19:34:32, 90, 180, 0.50, 60000, 77.42, 0.7509 
2023-01-28 19:35:37, 90, 120, 0.70, 60000, 65.33, 0.7802 
2023-01-28 19:36:51, 90, 150, 0.70, 60000, 73.39, 0.7738 
2023-01-28 19:38:17, 90, 180, 0.70, 60000, 85.89, 0.7705 
2023-01-28 19:39:33, 90, 120, 0.90, 60000, 75.59, 0.7909 
2023-01-28 19:40:54, 90, 150, 0.90, 60000, 81.05, 0.7916 
2023-01-28 19:42:16, 90, 180, 0.90, 60000, 81.27, 0.8134 
