Date,Iterations,LocIterations,Lambda,TrainSize,TimeFit(sec),Accuracy
2023-01-27 22:09:12, 30, 120, 0.40, 60000, 58.67, 0.7763 
2023-01-27 22:15:18, 30, 180, 0.60, 60000, 54.14, 0.7792 
2023-01-27 22:18:34, 30, 150, 0.80, 60000, 52.26, 0.7710 

2023-01-27 22:25:45, 45, 90, 0.40, 60000, 61.84, 0.7724 
2023-01-27 22:28:34, 45, 180, 0.40, 60000, 58.44, 0.7797 
2023-01-27 22:31:15, 45, 120, 0.60, 60000, 58.30, 0.7764 
2023-01-27 22:32:09, 45, 150, 0.60, 60000, 53.75, 0.7792 
2023-01-27 22:34:38, 45, 90, 0.80, 60000, 47.34, 0.7737 
2023-01-27 22:35:28, 45, 120, 0.80, 60000, 50.32, 0.7811 
2023-01-27 22:36:23, 45, 150, 0.80, 60000, 54.30, 0.7748 
2023-01-27 22:37:21, 45, 180, 0.80, 60000, 58.13, 0.7961 

2023-01-27 22:38:10, 60, 60, 0.20, 60000, 48.03, 0.7723 
2023-01-27 22:43:17, 60, 60, 0.40, 60000, 49.05, 0.7855 
2023-01-27 22:44:15, 60, 90, 0.40, 60000, 57.46, 0.7748 
2023-01-27 22:49:18, 60, 90, 0.60, 60000, 56.32, 0.7921 
2023-01-27 22:50:20, 60, 120, 0.60, 60000, 61.15, 0.7842 
2023-01-27 22:51:26, 60, 150, 0.60, 60000, 65.72, 0.7967 
2023-01-27 22:52:34, 60, 180, 0.60, 60000, 68.28, 0.7701 
2023-01-27 22:55:23, 60, 120, 0.80, 60000, 61.83, 0.7900 
2023-01-27 22:56:24, 60, 150, 0.80, 60000, 61.00, 0.7959 
2023-01-27 22:57:27, 60, 180, 0.80, 60000, 62.70, 0.7877 
