Date,Iterations,LocIterations,Lambda,TrainSize,TimeFit(sec),Accuracy
2023-01-29 16:41:01, 110, 210, 0.90, 60000, 99.82, 0.7601 
2023-01-29 16:42:38, 110, 220, 0.90, 60000, 96.51, 0.8115 
2023-01-29 16:44:20, 110, 230, 0.90, 60000, 101.71, 0.8046 
2023-01-29 16:45:50, 110, 210, 0.95, 60000, 90.32, 0.7646 
2023-01-29 16:47:28, 110, 220, 0.95, 60000, 97.06, 0.8122 
2023-01-29 16:49:05, 110, 230, 0.95, 60000, 97.47, 0.7512 
2023-01-29 16:52:15, 110, 210, 0.95, 60000, 105.01, 0.7646 
2023-01-29 16:53:55, 110, 220, 0.95, 60000, 100.05, 0.8122 
2023-01-29 16:55:31, 110, 230, 0.95, 60000, 95.32, 0.7512 
2023-01-29 16:56:59, 110, 210, 1.00, 60000, 87.98, 0.7651 
2023-01-29 16:58:27, 110, 220, 1.00, 60000, 88.00, 0.8182 
2023-01-29 17:00:01, 110, 230, 1.00, 60000, 93.29, 0.8140 
2023-01-29 17:01:30, 110, 210, 1.05, 60000, 89.24, 0.7772 
2023-01-29 17:03:04, 110, 220, 1.05, 60000, 93.38, 0.8176 
2023-01-29 17:04:35, 110, 230, 1.05, 60000, 90.60, 0.8221 
2023-01-29 17:06:04, 110, 210, 1.10, 60000, 88.70, 0.7769 
2023-01-29 17:07:34, 110, 220, 1.10, 60000, 90.50, 0.8181 
2023-01-29 17:09:15, 110, 230, 1.10, 60000, 100.70, 0.7739 
2023-01-29 17:10:52, 125, 210, 0.95, 60000, 96.40, 0.8135 
2023-01-29 17:12:32, 125, 220, 0.95, 60000, 99.55, 0.7610 
2023-01-29 17:14:13, 125, 230, 0.95, 60000, 100.70, 0.8191 
2023-01-29 17:15:44, 125, 210, 1.00, 60000, 91.36, 0.8062 
2023-01-29 17:17:19, 125, 220, 1.00, 60000, 94.74, 0.7627 
2023-01-29 17:19:04, 125, 230, 1.00, 60000, 104.12, 0.7560 
2023-01-29 17:20:39, 125, 210, 1.05, 60000, 95.46, 0.8045 
2023-01-29 17:22:13, 125, 220, 1.05, 60000, 93.98, 0.7646 
2023-01-29 17:23:50, 125, 230, 1.05, 60000, 96.65, 0.7640 
2023-01-29 17:25:26, 125, 210, 1.10, 60000, 95.16, 0.8086 
2023-01-29 17:27:05, 125, 220, 1.10, 60000, 99.18, 0.7726 
2023-01-29 17:28:48, 125, 230, 1.10, 60000, 102.42, 0.8167 
2023-01-29 17:30:29, 140, 210, 0.95, 60000, 101.26, 0.7463 
2023-01-29 17:32:18, 140, 220, 0.95, 60000, 108.89, 0.8122 
2023-01-29 17:34:08, 140, 230, 0.95, 60000, 109.26, 0.7412 
2023-01-29 17:36:00, 140, 210, 1.00, 60000, 112.27, 0.7447 
2023-01-29 17:37:57, 140, 220, 1.00, 60000, 116.47, 0.8138 
2023-01-29 17:39:55, 140, 230, 1.00, 60000, 117.74, 0.8040 
2023-01-29 17:41:41, 140, 210, 1.05, 60000, 105.95, 0.7518 
2023-01-29 17:43:27, 140, 220, 1.05, 60000, 105.17, 0.8106 
2023-01-29 17:45:14, 140, 230, 1.05, 60000, 107.28, 0.8143 
2023-01-29 17:46:56, 140, 210, 1.10, 60000, 101.40, 0.7549 
2023-01-29 17:48:42, 140, 220, 1.10, 60000, 106.20, 0.8133 
2023-01-29 17:50:31, 140, 230, 1.10, 60000, 108.67, 0.7542 

